state,State_fips,cases,deaths,confirmed_cases,confirmed_deaths,death_rate_comfirmed,death_rate,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,State,Census,Estimates Base,cases/population,state_name,total_inpatient_beds,total_icu_beds,pct_inpatient_bed_utilization,pct_inpatients_with_covid,pct_icu_bed_utilization,icu_beds_used_estimate,inpatient_beds_used_estimate,inpatient_beds_used_covid_est,Total,Any_coverage,Uninsured,Private,Employer-based,Direct-purchase,TRICARE,Public,Medicaid,Medicare,VA Care,Any_coverage/population
Georgia,13,404577,8678,367096,8218,0.022386515,0.021449563,0.083333333,0.078377358,0.126144654,0.199792453,0.512314465,Georgia,9687653,9688729,0.041762128,Georgia,16909,3110,78.25,11.06,81.89,2189,14846,2098,10420000,9023000,1398000,6860000,5652000,1227000,420000,3272000,1791000,1705000,261000,0.931391742
Hawaii,15,16514,221,,,,0.013382584,0.01375,0.02025,0.03375,0.12575,0.80625,Hawaii,1567582,1567657,0.010534696,Hawaii,1745,299,66.26,3.35,62.33,134,1654,83,1359000,1302000,56000,1034000,869000,176000,106000,493000,245000,275000,34000,0.83057856
Illinois,17,553083,10907,540390,10546,0.019515535,0.019720367,0.07227451,0.071313725,0.126872549,0.219490196,0.510078431,Illinois,12830632,12831572,0.04310645,Illinois,28209,4796,68.68,20.31,65.76,2499,20414,6036,12488000,11565000,923000,8760000,7466000,1534000,155000,4184000,2274000,2147000,208000,0.901358561
Indiana,18,239139,4863,236565,4613,0.019499926,0.020335453,0.086097826,0.096434783,0.130423913,0.236923913,0.450217391,Indiana,6483802,6484051,0.036882527,Indiana,16101,2647,67.49,18.25,78.29,1695,11154,3016,6632000,6053000,578000,4610000,3900000,811000,110000,2232000,1171000,1197000,144000,0.933557194
Iowa,19,176708,1949,176708,1949,0.011029495,0.011029495,0.104323232,0.117323232,0.167424242,0.214707071,0.39620202,Iowa,3046355,3046871,0.058006372,Iowa,8032,943,67.28,19.49,81.29,565,5321,1521,3112000,2956000,156000,2277000,1869000,460000,55000,1123000,603000,587000,80000,0.970339964
Kansas,20,117245,1256,,,,0.01071261,0.116885714,0.116942857,0.151114286,0.219466667,0.395590476,Kansas,2853118,2853123,0.041093639,Kansas,7159,980,62.39,14.78,81.51,648,4746,1124,2852000,2589000,262000,2121000,1701000,446000,109000,845000,380000,508000,69000,0.907428294
Kentucky,21,135664,1727,,,,0.01272998,0.086333333,0.083125,0.131091667,0.207991667,0.4914,Kentucky,4339367,4339333,0.031263546,Kentucky,12097,1737,72.41,13.27,77.97,1193,8584,1573,4385000,4102000,283000,2795000,2320000,513000,121000,1893000,1135000,899000,118000,0.945299165
Louisiana,22,198531,6097,191889,5863,0.030554122,0.030710569,0.082328125,0.072453125,0.11440625,0.20715625,0.52365625,Louisiana,4533372,4533487,0.043793229,Louisiana,13074,2450,65.97,6.58,71.3,1232,8780,849,4540000,4135000,404000,2625000,2160000,509000,121000,2013000,1320000,848000,101000,0.912124573
Maine,23,8639,162,7748,162,0.020908622,0.01875217,0.0475,0.0589375,0.1000625,0.20125,0.592375,Maine,1328361,1328358,0.006503503,Maine,2818,369,69.32,3.52,74.92,236,1950,99,1328000,1221000,107000,922000,727000,199000,48000,513000,260000,315000,44000,0.919177844
Maryland,24,162181,4273,162056,4124,0.025447993,0.026347106,0.022916667,0.020916667,0.051541667,0.161833333,0.74275,Maryland,5773552,5773794,0.028090333,Maryland,10207,1599,81.18,14.59,77.82,1000,8219,1477,5946000,5589000,357000,4398000,3753000,729000,229000,1991000,1096000,1018000,112000,0.968034929
Massachusetts,25,183095,10265,177627,10038,0.056511679,0.056063792,0.0195,0.011785714,0.040142857,0.131142857,0.797285714,Massachusetts,6547629,6547785,0.027963557,Massachusetts,16252,2369,68.04,5.03,52.5,1007,11883,878,6821000,6617000,204000,5068000,4305000,961000,79000,2461000,1499000,1221000,98000,1.010594828
Michigan,26,268072,8312,244291,7933,0.032473566,0.031006595,0.044795181,0.06126506,0.100289157,0.218879518,0.574807229,Michigan,9883640,9884116,0.027122801,Michigan,22831,3253,79.25,17.53,83.35,2238,17165,3796,9879000,9308000,571000,7015000,5976000,1293000,132000,3829000,2154000,1988000,200000,0.9417583
Minnesota,27,207395,2895,205088,2802,0.013662428,0.013958871,0.103195402,0.122333333,0.155701149,0.243126437,0.375528736,Minnesota,5303925,5303927,0.039102174,Minnesota,11056,1469,74.55,18.59,83.42,810,7841,1955,5581000,5308000,273000,4234000,3495000,851000,80000,1835000,963000,955000,130000,1.000768299
Mississippi,28,131970,3519,110930,3122,0.028143875,0.026665151,0.067817073,0.084487805,0.119536585,0.201231707,0.526878049,Mississippi,2967297,2968130,0.04447482,Mississippi,7353,1000,65.5,10.93,78.6,672,5287,882,2905000,2528000,377000,1705000,1338000,357000,115000,1145000,697000,573000,69000,0.851953815
Missouri,29,239949,3452,237998,3451,0.014500122,0.01438639,0.13406087,0.127165217,0.151652174,0.21053913,0.376556522,Missouri,5970782,5970803,0.040187198,Missouri,17178,2716,65.32,15.38,78.84,1569,11316,2664,6021000,5417000,604000,4196000,3438000,803000,163000,1941000,874000,1176000,163000,0.907251345
Montana,30,44297,483,44294,483,0.010904411,0.010903673,0.150857143,0.171589286,0.144892857,0.215142857,0.317535714,Montana,989415,989407,0.0447709,Montana,2702,245,69.14,17.17,71.62,159,1945,483,1054000,967000,87000,698000,512000,195000,40000,428000,222000,224000,44000,0.977345199
Nebraska,31,92553,776,29764,241,0.00809703,0.008384385,0.123806452,0.117709677,0.145752688,0.261311828,0.351451613,Nebraska,1826341,1826305,0.050676736,Nebraska,4723,891,68.34,21.68,79.15,463,3163,986,1904000,1746000,158000,1432000,1145000,317000,63000,539000,244000,326000,51000,0.956009858
