COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,State fips
13107,0.062,0.044,0.142,0.252,0.5,13
13109,0.03,0.078,0.229,0.29,0.372,13
13111,0.075,0.088,0.125,0.112,0.6,13
13113,0.06,0.086,0.131,0.218,0.505,13
13115,0.186,0.036,0.234,0.148,0.395,13
13117,0.035,0.048,0.083,0.193,0.641,13
13119,0.168,0.074,0.117,0.215,0.425,13
13121,0.026,0.036,0.089,0.187,0.662,13
13123,0.128,0.042,0.087,0.198,0.545,13
13125,0.156,0.066,0.107,0.13,0.541,13
13127,0.048,0.071,0.145,0.251,0.485,13
13129,0.172,0.1,0.201,0.157,0.369,13
13131,0.063,0.139,0.116,0.264,0.417,13
13133,0.062,0.046,0.057,0.176,0.658,13
13135,0.036,0.054,0.081,0.19,0.639,13
13137,0.063,0.1,0.116,0.292,0.43,13
13139,0.061,0.069,0.128,0.198,0.545,13
13141,0.043,0.111,0.102,0.168,0.575,13
13143,0.184,0.123,0.165,0.184,0.345,13
13145,0.093,0.081,0.061,0.213,0.551,13
13147,0.092,0.061,0.14,0.207,0.5,13
13149,0.126,0.094,0.166,0.144,0.471,13
13151,0.103,0.048,0.091,0.181,0.578,13
13153,0.032,0.079,0.136,0.172,0.581,13
13155,0.098,0.091,0.126,0.224,0.46,13
13157,0.125,0.085,0.117,0.24,0.434,13
13159,0.082,0.059,0.181,0.118,0.56,13
13161,0.124,0.138,0.165,0.183,0.39,13
13163,0.251,0.055,0.099,0.102,0.493,13
13165,0.114,0.053,0.084,0.261,0.488,13
13167,0.119,0.053,0.109,0.251,0.468,13
13169,0.049,0.087,0.226,0.209,0.43,13
13171,0.07,0.06,0.171,0.293,0.406,13
13173,0.102,0.07,0.145,0.181,0.502,13
13175,0.122,0.056,0.141,0.291,0.391,13
13177,0.035,0.033,0.039,0.162,0.732,13
13179,0.007,0.099,0.066,0.215,0.614,13
13181,0.073,0.104,0.111,0.233,0.479,13
13183,0.014,0.119,0.086,0.159,0.621,13
13185,0.108,0.101,0.149,0.208,0.435,13
13187,0.035,0.086,0.13,0.245,0.504,13
13189,0.072,0.053,0.123,0.265,0.488,13
13191,0.034,0.076,0.188,0.221,0.481,13
13193,0.078,0.049,0.113,0.21,0.55,13
13195,0.165,0.084,0.055,0.186,0.511,13
13197,0.084,0.12,0.167,0.196,0.433,13
13199,0.109,0.086,0.138,0.15,0.517,13
13201,0.064,0.056,0.182,0.159,0.539,13
13205,0.044,0.112,0.055,0.159,0.63,13
13207,0.072,0.035,0.184,0.253,0.455,13
13209,0.114,0.083,0.174,0.228,0.401,13
13211,0.061,0.064,0.093,0.168,0.614,13
13213,0.193,0.03,0.182,0.177,0.417,13
13215,0.063,0.073,0.083,0.225,0.555,13
13217,0.094,0.076,0.123,0.207,0.5,13
13219,0.049,0.063,0.095,0.181,0.611,13
13221,0.056,0.082,0.054,0.181,0.627,13
13223,0.097,0.068,0.108,0.233,0.494,13
13225,0.027,0.074,0.172,0.16,0.567,13
13227,0.038,0.118,0.101,0.188,0.555,13
13229,0.05,0.143,0.127,0.157,0.522,13
13231,0.059,0.06,0.147,0.192,0.542,13
13233,0.106,0.071,0.192,0.145,0.485,13
13235,0.079,0.031,0.098,0.218,0.575,13
13237,0.059,0.093,0.118,0.214,0.516,13
13239,0.053,0.15,0.095,0.163,0.538,13
13241,0.1,0.083,0.124,0.229,0.464,13
13243,0.016,0.065,0.05,0.2,0.669,13
13245,0.068,0.059,0.114,0.18,0.578,13
13247,0.058,0.078,0.115,0.216,0.534,13
13249,0.07,0.102,0.117,0.214,0.497,13
13251,0.198,0.069,0.081,0.242,0.41,13
13253,0.073,0.079,0.202,0.135,0.51,13
13255,0.072,0.038,0.179,0.202,0.509,13
13257,0.087,0.116,0.116,0.31,0.37,13
13259,0.055,0.092,0.133,0.203,0.517,13
13261,0.055,0.056,0.046,0.202,0.641,13
13263,0.168,0.08,0.089,0.171,0.492,13
13265,0.065,0.048,0.086,0.158,0.644,13
13267,0.051,0.076,0.214,0.224,0.434,13
13269,0.126,0.069,0.182,0.201,0.422,13
13271,0.156,0.075,0.134,0.208,0.427,13
13273,0.019,0.029,0.03,0.167,0.755,13
13275,0.026,0.096,0.12,0.228,0.53,13
13277,0.066,0.088,0.122,0.227,0.496,13
13279,0.097,0.069,0.179,0.226,0.429,13
13281,0.076,0.096,0.098,0.199,0.531,13
13283,0.096,0.07,0.168,0.267,0.399,13
13285,0.175,0.031,0.119,0.178,0.497,13
13287,0.141,0.042,0.094,0.175,0.547,13
13289,0.04,0.077,0.188,0.148,0.547,13
13291,0.065,0.119,0.087,0.168,0.56,13
13293,0.16,0.1,0.114,0.206,0.421,13
13295,0.144,0.164,0.117,0.21,0.366,13
13297,0.106,0.127,0.184,0.141,0.442,13
13299,0.061,0.108,0.109,0.166,0.556,13
13301,0.095,0.065,0.14,0.226,0.474,13
13303,0.104,0.07,0.053,0.157,0.617,13
13305,0.029,0.139,0.143,0.139,0.55,13
13307,0.019,0.064,0.103,0.21,0.603,13
13309,0.135,0.078,0.162,0.23,0.395,13
13311,0.057,0.064,0.099,0.347,0.433,13
13313,0.185,0.068,0.203,0.142,0.403,13
13315,0.173,0.017,0.083,0.157,0.569,13
13317,0.08,0.086,0.114,0.172,0.548,13
13319,0.039,0.062,0.141,0.224,0.534,13
13321,0.069,0.056,0.083,0.187,0.605,13
15001,0.01,0.032,0.037,0.122,0.799,15
15003,0.011,0.012,0.027,0.151,0.798,15
15005,0.026,0.013,0.032,0.08,0.85,
15007,0,0.021,0.046,0.108,0.825,15
15009,0.034,0.016,0.025,0.122,0.803,15
16001,0.118,0.078,0.084,0.194,0.526,16
16003,0.094,0.216,0.218,0.218,0.254,16
16005,0.084,0.193,0.176,0.195,0.352,16
